,screen name,mentions
1489,Neuromancer568,"arsequeef, willingblam"
1490,News_on_Shuffle,"auberginefedora, matthewmercer"
1491,otdderamin,"kayncli, voiceofobrien"
1492,ThatScarletMoth,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1493,g33k0falltrades,"roleplayers_tv, criticalrole, hyperxesalv"
1494,nothingoskar,critrolestats
1495,dustbinflowers,marisha_ray
1496,Centerpoint108,"86thfloor, woodsmokewords, maker"
1497,cydonionknight,
1498,ashweezcosplay,criticalrole
1499,raeofsmiles95,
1500,BardicLoreBlog,kickstarter
1501,PawOutlet,partychickencos
1502,Leaf_TheRaven,toddkenreck
1503,Seer__deer,apollinares
1504,Hailstormcos,
1505,ellieasta,wally_wests
1506,j_veydt,
1507,scullyOWL,
1508,CritRoleStats,
1509,cassimere_,hyperoats
1510,this_sauce,
1511,Gameguruchris,
1512,Neuromancer568,"kayncli, voiceofobrien"
1513,FaeDragon,critrolestats
1514,mxplemouse,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1515,ninefoxed,scullyowl
1516,Centerpoint108,kapi_taine
1517,CritRoleArtBot,"anodesu, voiceofobrien"
1518,Wally_Wests,
1519,PennieDPortgas,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1520,RuzgofDi,
1521,Liisabelle,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1522,ellieasta,wagonageoregons
1523,Oak2Rainy,"arsequeef, willingblam"
1524,SMOSHrules117,"arsequeef, willingblam"
1525,CritRoleArtBot,voodoocatart
1526,Dj_Jadenchu,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1527,Occams_Lazer,
1528,sea_laire,
1529,fairyboydammit,"criticalrole, dndbeyond"
1530,iRustyRobot,rlinarts
1531,CritRoleArtBot,eslocosoldado
1532,ittalulu,migluzart
1533,CritRoleArtBot,therealjdanielc
1534,AgentTopangaL,awolsenshi
1535,this_sauce,
1536,WagonAgeOregons,"dustbinflowers, marisha_ray"
1537,Cybrwulf1201,"hollyconrad, criticalrole, voiceofobrien, kayncli, critrolecloset"
1538,Wally_Wests,
1539,WagonAgeOregons,"teaandtails, marisha_ray"
1540,vonnie_bee,"jigoku_nozomi, matthewmercer, samriegel"
1541,ladylavelIan,
1542,Somewhatfriend1,kellyjoule
1543,ToonEzon,
1544,Arcaniphage,
1545,CritRoleStats,
1546,drsbello,
1547,Mobius___Strip,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1548,jae_gerbomb,
1549,BarbaElias,"kayncli, voiceofobrien"
1550,antivanruffles,
1551,Animaybelater,galacticjonah
1552,Jimersion,"jigoku_nozomi, matthewmercer, samriegel"
1553,CrunchyMeta,"criticalrole, dndbeyond"
1554,lullabynwtb,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1555,vonnie_bee,jigoku_nozomi
1556,KaiChan1412,"variety, criticalrole"
1557,WagonAgeOregons,scullyowl
1558,Sneakingfox20,rlinarts
1559,xKaraShepardx,
1560,Wally_Wests,
1561,thegreyhunt,"anodesu, voiceofobrien"
1562,AllyeKatDraws,
1563,KateTHuggins,
1564,fandomkynz,karekareo
1565,RobbyBloom5,marisha_ray
1566,KatWaterflame,critrolestats
1567,Etienne_Hobbit,kellyjoule
1568,KatWaterflame,critrolestats
1569,ArseQueef,
1570,whitneyism,
1571,Benobi_219,
1572,SireneStormsong,
1573,ninefoxed,
1574,Codemdrim,raypilley
1575,Daiedalous,maryneelahaye
1576,doug_deutschman,criticalrole
1577,eric4stull,
1578,ikeptyourcat,
1579,tinysmallkitten,rlinarts
1580,flagsontees_de,"kayncli, voiceofobrien"
1581,nothingoskar,arsequeef
1582,GallifreyGirl08,"liisabelle, hollyconrad, criticalrole, voiceofobrien, kayncli"
1583,raeofsmiles95,wally_wests
1584,GeekyCatDragon,sunnyonice
1585,LuisgMunoz1,"anodesu, voiceofobrien"
1586,CritRoleStats,
1587,BigHeathen11,
1588,CarnotLesbian,
1589,rpgeek12,"greenroninpub, criticalrole"
1590,Mugsyface,arsequeef
1591,TheKoontzy,"anodesu, voiceofobrien"
1592,mewnyako,"hollyconrad, criticalrole, voiceofobrien, kayncli, hollyconrad"
1593,Devon_Arcane,
1594,KatWaterflame,
1595,flagsontees_de,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1596,RuzgofDi,
1597,KatWaterflame,critrolestats
1598,Jmeezy0714,matthewmercer
1599,HomelessMovies,
1600,WagonAgeOregons,antivanruffles
1601,VesperDeRolo,
1602,piggy8174,
1603,Mythos9,arsequeef
1604,KyleWithAnN,
1605,Occams_Lazer,
1606,metzger_katie,
1607,jaguarldy,samriegel
1608,maguselgar,
1609,faceplantmay,critrolecloset
1610,rpodrichards,"kayncli, voiceofobrien"
1611,Neuromancer568,arsequeef
1612,fswrites,
1613,Boundy_Boy,"criticalrole, willingblam, matthewmercer, netflix"
1614,queerarchlich,arsequeef
1615,Sh3llyBelle,
1616,thanatos5150,
1617,Bradinator1,"kayncli, voiceofobrien"
1618,KatWaterflame,arsequeef
1619,another_warlock,
1620,Wally_Wests,
1621,Water_Cat1,kyaatu
1622,B3BUDA,karekareo
1623,CritRoleStats,
1624,Mugsyface,
1625,faerybeary,
1626,settiai,
1627,omalora,
1628,tkjoinsthefray,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1629,CaeliaMer,
1630,Mechajam,"robertstock6, lotronprime, criticalrole"
1631,wolfinpdx,
1632,SuperGeek514,arsequeef
1633,Neuromancer568,critrolestats
1634,KatWaterflame,critrolestats
1635,ninefoxed,critrolestats
1636,Blargledorf1,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1637,dankesgiving,"86thfloor, woodsmokewords, maker"
1638,vonnie_bee,arsequeef
1639,tkjoinsthefray,"kayncli, voiceofobrien"
1640,halafell,
1641,ChuggleDBugl,arsequeef
1642,AllyeKatDraws,
1643,beniciodcltoro,
1644,CanPunchGhosts,
1645,Jimersion,arsequeef
1646,Adnor,arsequeef
1647,nothingoskar,
1648,Benobi_219,
1649,fairyboydammit,marisha_ray
1650,otdderamin,arsequeef
1651,KyleWithAnN,
1652,_Maihel,samriegel
1653,drsbello,"arsequeef, samriegel"
1654,sea_laire,
1655,ArakuHime,"86thfloor, woodsmokewords, maker"
1656,jazzvadnan,marisha_ray
1657,AdamKingEG,"arsequeef, willingblam"
1658,Wally_Wests,
1659,TheKoontzy,iika_4you
1660,daerksiea,devon_arcane
1661,_Banchou,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1662,Codemdrim,"criticalrole, takayuuki_art"
1663,Devariah_,
1664,fairyboydammit,kellyjoule
1665,StroudKyle,
1666,LabyrinthCat,
1667,WagonAgeOregons,
1668,CritRoleStats,
1669,KlTAKI,
1670,unesangsue,retromortis
1671,News_on_Shuffle,
1672,TheAKPhoenix,critrolestats
1673,bita2245,arsequeef
1674,_Banchou,"kayncli, voiceofobrien"
1675,psyk0zap,
1676,fleshtony,"samriegel, criticalrole"
1677,AgronaTabris,"news_on_shuffle, triaelf9"
1678,BardicBoa,"variety, criticalrole"
1679,makeitsnowondem,
1680,williamknoxlaw,
1681,Frakbuddy,arsequeef
1682,PropularScience,arsequeef
1683,TriaElf9,tessfowler
1684,Dazy_Queen,"ajillustrate, talksmachina"
1685,nosadshine11,kellyjoule
1686,raeofsmiles95,"_maihel, samriegel"
1687,MyHeroDevon,"kayncli, voiceofobrien"
1688,post4story,
1689,ToobaornotTooba,critrolestats
1690,notadonutshop,"criticalrole, dndbeyond"
1691,TheKoontzy,mhendricksonart
1692,di_yce,post4story
1693,kwansbf,
1694,ChaseTriesAgain,
1695,SpocksPointyEar,"jacotheapeo, criticalrole, matthewmercer"
1696,TobilTop,"kayncli, voiceofobrien"
1697,TOMS_tan_line,voiceofobrien
1698,AgronaTabris,critrolestats
1699,WagonAgeOregons,sirenestormsong
1700,PhantomRoxas,
1701,the_gnome_nyx,executivegoth
1702,fairyboydammit,voiceofobrien
1703,ruushes,
1704,Dazy_Queen,"variety, criticalrole"
1705,AgronaTabris,critrolestats
1706,Shawnali_Draws,
1707,lanesandsparks,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1708,Wally_Wests,
1709,TobilTop,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1710,rudetuesday,arsequeef
1711,StringC2,"criticalrole, matthewmercer, hamiltonmusical"
1712,Quorgi,"kayncli, voiceofobrien"
1713,ninefoxed,
1714,raeofsmiles95,williamknoxlaw
1715,ArtistSomeday,
1716,thranduilien,karekareo
1717,SashoWolf,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1718,News_on_Shuffle,arsequeef
1719,moldypantaloons,
1720,AttemptsLife,larn_draws
1721,carolinethegeek,
1722,SciGuyKai,"adultswim, kickstarter"
1723,Dr_Hailey_Who,
1724,Wally_Wests,
1725,drsbello,"fleshtony, samriegel, criticalrole"
1726,lesbowo,larn_draws
1727,Codemdrim,sunnyonice
1728,pogonologism,arsequeef
1729,Arcaniphage,"demarcodraws, babsdraws"
1730,Emanururu,ioanamuresanart
1731,fairyboydammit,voiceofobrien
1732,CritRoleStats,
1733,dungeon_doodles,
1734,Legov7,
1735,KatWaterflame,critrolestats
1736,CritRoleFanart,dr_hailey_who
1737,SnowQueenLouise,arsequeef
1738,MaeMaeTwin,therequiemman
1739,vic_squared_,
1740,CritRoleFanart,shawnali_draws
1741,KyleWithAnN,
1742,KatWaterflame,critrolestats
1743,fairyboydammit,matthewmercer
1744,etienne_richard,
1745,Dead_Mango,"criticalrole, dndbeyond"
1746,WagonAgeOregons,benobi_219
1747,bonnie_txt,"jaceofswords, executivegoth, m"
1748,hawkspiral,rlinarts
1749,vonnie_bee,sea_laire
1750,Wally_Wests,
1751,Tishls,arsequeef
1752,vickyslyth_,"minomotu, criticalrole"
1753,Wally_Wests,
1754,HalfElfMage,"arsequeef, willingblam"
1755,rpgeek12,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1756,HalfElfMage,arsequeef
1757,BlueBlaaaack,matthewmercer
1758,Arcaniphage,arsequeef
1759,karolinalsdean,triaelf9
1760,LightbaneBR,"babsdraws, marisha_ray, criticalrole"
1761,thranduilien,criticalrole
1762,sasser_zachary,arsequeef
1763,ArchvalesEvony,arsequeef
1764,EsLocoSoldado,eslocosoldado
1765,CarnineJacob,"kayncli, voiceofobrien"
1766,di_yce,eslocosoldado
1767,KyleWithAnN,arsequeef
1768,Occams_Lazer,
1769,Wally_Wests,
1770,AttemptsLife,saturnberries
1771,MaskedDevera,
1772,CritRoleStats,
1773,syugai_,sunnyonice
1774,AvalancheUNITE,
1775,kmallura,arsequeef
1776,Arcaniphage,adragonswinging
1777,pumatsolpatch,
1778,vonnie_bee,williamknoxlaw
1779,NervousNerd16,galacticjonah
1780,RebelBelladonna,srerenga
1781,heartlesspumkin,ioanamuresanart
1782,RobertStock6,"mechajam, lotronprime, criticalrole"
1783,Wally_Wests,
1784,HalfElfMage,"criticalrole, dndbeyond"
1785,HelsenSM,arsequeef
1786,voidsygil,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1787,Benobi_219,"lin_manuel, criticalrole"
1788,Arcaniphage,ruushes
1789,drawsshits,
1790,post4story,
1791,HalfElfMage,critrolestats
1792,DeborahAnnWoll,"ejscott, matthewmercer, realturtlemike, criticalrole, marisha_ray, tommywalker24, juliamdennis, katewelchhhh"
1793,un_maid,madqueenmomo
1794,victoriarenae11,
1795,Arcaniphage,galacticjonah
1796,FNDungeonMom,
1797,_Crimson_J,"criticalrole, titmouseinc"
1798,LittleBIue,
1799,CptKurfuffle,arsequeef
1800,KptBoredom,barbbondvo
1801,HalfElfMage,"arsequeef, willingblam"
1802,HalfElfMage,arsequeef
1803,upde31,arsequeef
1804,RealJMcDonough,jdkingwrites
1805,ellieasta,occams_lazer
1806,megoraton,jennifermuro
1807,AnnVera10,
1808,EncounterJoshua,"roleplayers_tv, criticalrole, hyperxesalv"
1809,Fataceboy,
1810,jaycrowcomics,"kayncli, voiceofobrien"
1811,BalissaArt,voiceofobrien
1812,Mechajam,"robertstock6, lotronprime, criticalrole"
1813,ZeeDabbles,criticalrole
1814,daleytwin1,"arsequeef, willingblam"
1815,Madhattergirl56,
1816,CritRoleStats,
1817,raeofsmiles95,
1818,RPGGameBreakers,arsequeef
1819,WagonAgeOregons,legov7
1820,KoriSuoh,"criticalrole, dndbeyond"
1821,fwishb0ne,drawsshits
1822,TeaAndTails,
1823,CaptSardonic,"matthewmercer, willingblam"
1824,KyleWithAnN,
1825,GilTheVlogsmith,"willingblam, matthewmercer"
1826,KTS_Stories,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1827,FiliSosik,blacksalander
1828,Gmightyguin,
1829,BlackieMich,"chmurph, eaxford, caldy"
1830,KatWaterflame,critrolestats
1831,antivanruffles,
1832,CurtCarbonell,criticalrole
1833,Benobi_219,
1834,Arcaniphage,ioanamuresanart
1835,Arcaniphage,"anodesu, voiceofobrien"
1836,KatWaterflame,critrolestats
1837,VesperDeRolo,
1838,Jimersion,
1839,EsLocoSoldado,travenglish
1840,crow_821,artofnickrobles
1841,Mugsyface,
1842,CRHPStats,
1843,GamerGeek322,"arsequeef, willingblam"
1844,jae_gerbomb,
1845,DaphniArts,criticalrole
1846,Arcaniphage,"criticalrole, enthusiamy, executivegoth"
1847,ninefoxed,
1848,Nebraska_Dave,"wizards_dnd, criticalrole, matthewmercer"
1849,CritRoleStats,
1850,KyleWithAnN,
1851,CritRoleFanart,post4story
1852,kmallura,
1853,LabyrinthCat,
1854,matte_bat_,
1855,CritRoleFanart,drawsshits
1856,Rabidribi,"kayncli, voiceofobrien"
1857,NickClay,matthewmercer
1858,3amepiphany,
1859,Wally_Wests,
1860,starrypaigeart,
1861,RuzgofDi,antivanruffles
1862,BigHeathen11,
1863,ubergeekmalfoy,"variety, criticalrole"
1864,capn_madd_katt,
1865,CarnotLesbian,
1866,MaskedDevera,
1867,rinzukodas,drawsshits
1868,QuietKR,
1869,KatWaterflame,critrolestats
1870,WagonAgeOregons,
1871,Occams_Lazer,
1872,nothingoskar,
1873,bitter_sweet_to,drawsshits
1874,FiliSosik,sashthesloth
1875,ArtistSomeday,
1876,seduceusclay,drawsshits
1877,Squeakster0,
1878,antivanruffles,arsequeef
1879,abbythecleric,wally_wests
1880,KptBoredom,"kayncli, voiceofobrien"
1881,vonnie_bee,
1882,spiritchrysalis,
1883,sweet_danica,"arsequeef, willingblam"
1884,heartlesspumkin,rlinarts
1885,metzger_katie,
1886,_Maihel,executivegoth
1887,_StellarWitch_,sunnyonice
1888,mercy_neutral,
1889,BallahPanda,arsequeef
1890,Jimersion,crhpstats
1891,si_less,executivegoth
1892,TeaAndTails,labyrinthcat
1893,ellieasta,wally_wests
1894,rusmclaughlin,
1895,fairyboydammit,orcbarbies
1896,ikeptyourcat,
1897,GHOSTZVNE,
1898,yettinim,drawsshits
1899,TheRileyOMalley,
1900,FiliSosik,kvkki
1901,SireneStormsong,
1902,CrystalQueeeerr,scullyowl
1903,fairyboydammit,forgingmeanings
1904,KCWiddoes,"_maihel, executivegoth"
1905,BlackDragonTF,"ajillustrate, talksmachina"
1906,DentInYourHead1,
1907,WagonAgeOregons,
1908,wolphdire,adragonswinging
1909,jae_gerbomb,
1910,AquilusAKAStu,"kayncli, voiceofobrien"
1911,wistfulVulpine,drawsshits
1912,NeeConley,labyrinthcat
1913,jrofthepelayos,
1914,ellieasta,wagonageoregons
1915,CritRoleStats,
1916,kimwonfvck,
1917,fairyboydammit,rlinarts
1918,jaguarldy,samriegel
1919,FKAMcButtz,criticalrole
1920,NotusLethe,
1921,brendanporter5,
1922,dragonagetwo,drawsshits
1923,metzger_katie,
1924,mme_mustardseed,maryneelahaye
1925,pumatsolpatch,
1926,HatterXerxes,"variety, criticalrole"
1927,Wally_Wests,
1928,amothboy,drawsshits
1929,crashheartlives,
1930,Nezumitribe,kellyjoule
1931,belleahbells,drawsshits
1932,carolinethegeek,
1933,vonnie_bee,wagonageoregons
1934,EdelynParker,
1935,KyleWithAnN,
1936,LadyElione,matthewmercer
1937,mischiefseven,arsequeef
1938,kmallura,
1939,so_this_sothis,
1940,QuietKR,
1941,CritRoleStats,
1942,KnKplayDnD,kellyjoule
1943,Wally_Wests,
1944,vonnie_bee,artistsomeday
1945,bullyart07,
1946,Jonny_AB,"kayncli, voiceofobrien"
1947,fairyboydammit,ioanamuresanart
1948,warlockandkey,
1949,daleytwin1,drawsshits
1950,WagonAgeOregons,drawsshits
1951,Jonny_AB,"hollyconrad, criticalrole, voiceofobrien, kayncli"
1952,Benobi_219,executivegoth
1953,Thamien,
1954,ItsJensie,laurabaileyvo
1955,agonethetic,
1956,spookynest,larn_draws
1957,SireneStormsong,
1958,Occams_Lazer,
1959,CarnotLesbian,
1960,AstinStratoti,
1961,News_on_Shuffle,
1962,skinlikewinter,"criticalrole, dndbeyond"
1963,PikafaaART,sunnyonice
1964,omalora,
1965,BenjaminDemarco,criticalrole
1966,CatandDragons,
1967,NotFrankTurner,saturnberries
1968,mrg_west,arsequeef
1969,Dexxldot,drawsshits
1970,gay_and_anxious,vi1ukissa
1971,AgentTopangaL,"anodesu, voiceofobrien"
1972,UHNGirl,wally_wests
1973,smolcoal,saturnberries
1974,Lollygags9,
1975,burlywizard,kellyjoule
1976,otdderamin,wally_wests
1977,Shawnali_Draws,
1978,Kettlin_P,drawsshits
1979,DailyTaliesin,wally_wests
1980,vic_squared_,
1981,WagonAgeOregons,jrofthepelayos
1982,burlywizard,voiceofobrien
1983,mint_julippe,drawsshits
1984,GsDaProduct,"allisonsmithart, criticalrole"
1985,Goombasa,"variety, criticalrole"
1986,SkywardSylphina,sunnyonice
1987,CritRoleStats,
1988,GsDaProduct,"allisonsmithart, criticalrole"
1989,HashimKhalayle1,migluzart
1990,quillyfied,
1991,KatWaterflame,critrolestats
1992,OakWarden,"arsequeef, voiceofobrien, samriegel"
1993,xMaruu11,drawsshits
1994,KatWaterflame,critrolestats
1995,CatandDragons,bailierosenlund
1996,MykalWane,laurabaileyvo
1997,PandooDraws,pokapopa
1998,BarbBondVO,
1999,Arcaniphage,wally_wests
2000,HashimKhalayle1,bethanybergart
2001,KatWaterflame,critrolestats
2002,HashimKhalayle1,_strawberryfox_
2003,Wally_Wests,
2004,ninefoxed,
2005,NervousNerd16,"86thfloor, woodsmokewords, maker"
2006,insanekitty32,zephyri
2007,sweet_danica,
2008,VesperDeRolo,
2009,stellar_sea_cow,
2010,Moffchiedoytiss,
2011,BearyCafe,fl0werb0ys
2012,Pudge_Muffin,sunnyonice
2013,jakkugerblin,drawsshits
2014,nothingoskar,
2015,CritRoleStats,
2016,dangitbarb,kellyjoule
2017,CarnotLesbian,
2018,nothingoskar,critrolestats
2019,nothingoskar,critrolestats
2020,WyethYates,
2021,Wally_Wests,
2022,BeardThePirate,"deborahannwoll, realturtlemike, matthewmercer, criticalrole, marisha_ray, tommywalker24, juliamdennis"
2023,jigoku_nozomi,executivegoth
2024,Occams_Lazer,
2025,_Maihel,lollygags9
2026,gay_and_anxious,thelittlemiss
2027,hackedmotionart,
2028,respirdal,fl0werb0ys
2029,AllyeKatDraws,
2030,CaPowArsenic,astinstratoti
2031,Wally_Wests,
2032,CritRoleStats,
2033,dustbinflowers,
2034,AvalancheUNITE,
2035,moldypantaloons,arsequeef
2036,starsscapes,scullyowl
2037,koishit_,adragonswinging
2038,Thamien,
2039,faelyn_jpg,larn_draws
2040,takenangel3,laurabaileyvo
2041,Hotmess_Mello,arsequeef
2042,CaptainCatTrek,aroyalmoon
2043,radioproxy,
2044,ninefoxed,
2045,HashimKhalayle1,ruushes
2046,WagonAgeOregons,moffchiedoytiss
2047,CargoReborn,drawsshits
2048,KatWaterflame,critrolestats
2049,KatWaterflame,critrolestats
2050,Demandrim,"rjeremyhoward, criticalrole, hamillhimself, sirpatstew, stephenathome"
2051,CritRoleStats,
2052,Lophify,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2053,Roll4Critters,hackedmotionart
2054,Wally_Wests,
2055,KyleWithAnN,
2056,CrystalQueeeerr,ioanamuresanart
2057,metzger_katie,
2058,Mr_Mazoo,criticalrole
2059,jigoku_nozomi,matte_bat_
2060,vonnie_bee,lollygags9
2061,moldypantaloons,"arsequeef, willingblam"
2062,otdderamin,
2063,SMOSHrules117,arsequeef
2064,AdaarHerah,drawsshits
2065,KatWaterflame,critrolestats
2066,FortuitousBob,"demarcodraws, matthewmercer"
2067,beaurcgards,drawsshits
2068,Zeeval_Kamenh,larn_draws
2069,TheCometGaming,arsequeef
2070,jigoku_nozomi,drawsshits
2071,CatandDragons,"demarcodraws, matthewmercer"
2072,TwiliHero,drawsshits
2073,Emanururu,rlinarts
2074,ffTWISTER,alienfirst
2075,Wally_Wests,
2076,MaskedDevera,
2077,tayduffers,fuyuhangetsu
2078,ThatAuntZelda,
2079,CatandDragons,pokapopa
2080,tbjsen,
2081,NixDajo,
2082,VesperDeRolo,
2083,Da_GreatGonzo,arsequeef
2084,kahruveldesign,
2085,BlitzFox,"justinmcelroy, criticalrole"
2086,omalora,
2087,Visy23,hackedmotionart
2088,CritRoleStats,
2089,jigoku_nozomi,arsequeef
2090,ToobaornotTooba,adragonswinging
2091,furrydoodle,arsequeef
2092,KatWaterflame,critrolestats
2093,vonnie_bee,carnotlesbian
2094,EsLocoSoldado,eslocosoldado
2095,otdderamin,drawsshits
2096,shinjitier,drawsshits
2097,Thamien,
2098,FiliSosik,ioanamuresanart
2099,YohiniJP,kellyjoule
2100,_joshuagarrett,
2101,tobias13_,critsnacks
2102,ravencomb21,ioanamuresanart
2103,AllyeKatDraws,
2104,cmakyouupgood,
2105,MattAltman2,jennifermuro
2106,Wally_Wests,
2107,CircusOfGlass,matthewmercer
2108,Lady_Abbington,
2109,Wally_Wests,
2110,raeofsmiles95,dustbinflowers
2111,NotusLethe,
2112,furrydoodle,"ajillustrate, talksmachina"
2113,Clementizzle,alexcoggonart
2114,owodane,rlinarts
2115,marinekingpro,"variety, criticalrole"
2116,Jax_salvier,voiceofobrien
2117,Arcyo,
2118,DraconicVerses,"criticalrole, matthewmercer"
2119,C_Parkesy,"arsequeef, voiceofobrien, samriegel"
2120,Wally_Wests,
2121,CritRoleStats,
2122,NtmtOb,jamesjhaeck
2123,parfaitpeach,"kayncli, voiceofobrien"
2124,rumandsleep,laurabaileyvo
2125,KatWaterflame,critrolestats
2126,AdamTheBilder,"greenroninpub, criticalrole"
2127,Devon_Arcane,
2128,Gretchen_A_K,
2129,KyleWithAnN,
2130,loreadorGM,pukaparade
2131,Lanternman2814,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2132,AllTheSaltInMe,arsequeef
2133,vonnie_bee,
2134,Neuromancer568,wally_wests
2135,Crazyginger68,"86thfloor, woodsmokewords, maker"
2136,CapnPickles,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2137,Stukovfortytwo,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2138,ganshea,ioanamuresanart
2139,katyfaise,"pxelslayer, marisha_ray"
2140,winterslex,
2141,CapnPickles,"kayncli, voiceofobrien"
2142,Woo_ra_ra,karekareo
2143,CritRoleFanart,catanddragons
2144,thetactilepope,drawsshits
2145,Wally_Wests,
2146,Polyshedron,"ajk227, criticalrole"
2147,captjamestkink,polyamorous_q
2148,CritRoleStats,
2149,Occams_Lazer,
2150,writing_callous,"arsequeef, willingblam"
2151,CasuallyAntt,apollinares
2152,nothingoskar,
2153,KatWaterflame,critrolestats
2154,PuzzledPen,kickstarter
2155,ninefoxed,
2156,VesperDeRolo,
2157,MaskedDevera,
2158,jae_gerbomb,
2159,Drgnfly42,drawsshits
2160,merkeiing,
2161,TouchMyStaff,marisha_ray
2162,Sparklekitty214,arsequeef
2163,dustbinflowers,
2164,CritRoleStats,
2165,zebardbaird,
2166,_Maihel,vonnie_bee
2167,vonnie_bee,
2168,TurpinRich,matthewmercer
2169,Ferien_art,
2170,KyleWithAnN,
2171,Thamien,
2172,lillianlouiseee,larn_draws
2173,Bear_Ninja24,arsequeef
2174,Roll4Critters,
2175,KatWaterflame,critrolestats
2176,merkeiing,
2177,__ambermarie__,kylewithann
2178,CritRoleFanart,hackedmotionart
2179,NoThoughtsAtAl1,migluzart
2180,Entry_Hazard,
2181,RuzgofDi,
2182,metzger_katie,
2183,Devariah_,
2184,otdderamin,
2185,mischiefseven,drawsshits
2186,minrathus,
2187,BuckeyeIV38,willfriedle
2188,miss_graceless,drawsshits
2189,nebulaeon,
2190,tpo1f,h4wk4rt
2191,ArrTeaSea,hackedmotionart
2192,ThatAuntZelda,
2193,AvalancheUNITE,
2194,Kyra_eliza,
2195,Wally_Wests,
2196,lindsayy529,
2197,Lark7911,
2198,EATincart,deanne_go
2199,Wolfy_12,"samriegel, mst3k"
2200,raeofsmiles95,jae_gerbomb
2201,Vi1ukissa,
2202,azkabqnn,
2203,JenniferAnneMoo,critrolestats
2204,deathidge,criticalrole
2205,TimLSim,
2206,ellieasta,
2207,DougMAustin,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2208,CritRoleStats,
2209,AROYALMOON,aroyalmoon
2210,KatWaterflame,
2211,BigHeathen11,voiceofobrien
2212,Cybrwulf1201,kylewithann
2213,DevilWarChild,"criticalrole, dndbeyond"
2214,KatWaterflame,critrolestats
2215,KADoesThings,
2216,CasuallyAntt,drawsshits
2217,1001cranes,ellieasta
2218,KyleWithAnN,
2219,rgreenparadox,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2220,ohellosunny,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2221,omalora,
2222,otdderamin,critrolestats
2223,NotusLethe,
2224,ninefoxed,
2225,Wally_Wests,
2226,critcosplaybot,fuyuhangetsu
2227,critcosplaybot,partychickencos
2228,karwlinadean,maryneelahaye
2229,merkeiing,
2230,Noxspear,critrolestats
2231,fluxphage,drawsshits
2232,mcvash1i7,"kayncli, voiceofobrien"
2233,Yepme10,"kayncli, voiceofobrien"
2234,cxnrxdvxdt,theghostfire
2235,daleytwin2,drawsshits
2236,librarian_ninja,jennifermuro
2237,donnastphibes,"kayncli, voiceofobrien"
2238,MaskedDevera,
2239,WagonAgeOregons,
2240,ArchvalesEvony,kellyjoule
2241,Faerie_Dragon,"variety, criticalrole"
2242,yukikiart,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2243,Banymasimo,
2244,cuejessgo,jamesjhaeck
2245,Giraffemonger,"ajillustrate, talksmachina"
2246,Wally_Wests,
2247,CritRoleStats,
2248,TobilTop,karekareo
2249,ravencomb21,"ajillustrate, talksmachina"
2250,LabyrinthCat,
2251,V3RTlC4L,"kayncli, thatscarletmoth, voiceofobrien, criticalrole, hollyconrad"
2252,KyleWithAnN,
2253,VriskaChat,"ajillustrate, talksmachina"
2254,aspiretowrite13,"hollyconrad, criticalrole, voiceofobrien, kayncli"
2255,winterslex,
2256,Thamien,
2257,Gairm_,
2258,KatWaterflame,critrolestats
2259,ellieasta,wagonageoregons
2260,widowghast,maryneelahaye
2261,BarbBondVO,
2262,Jax_salvier,willfriedle
2263,JohnCapetanos,"ooorangy, criticalrole"
2264,Weeburdoodles,"scottbrianwoods, matthewmercer, willingblam"
2265,yourordinaryman,
2266,Wally_Wests,
2267,arielleG,
2268,raven4138,arsequeef
2269,j_veydt,
2270,CarnotLesbian,
2271,filiasan,"ajillustrate, talksmachina"
2272,jigoku_nozomi,
2273,AnnVera10,
2274,pyrenotice,arsequeef
2275,Imbiesaurus,
2276,dustbinflowers,
2277,vic_squared_,
2278,vonnie_bee,azkabqnn
2279,loreadorGM,"demarcodraws, matthewmercer"
2280,mischiefseven,wally_wests
2281,KyleWithAnN,drawsshits
2282,Lollygags9,
2283,CallumCooney,ruushes
2284,GLITZERVAMPIR,"astinstratoti, criticalrole"
